"","PartID","subj_corr","language","task","Subgroup"
"1","ABCD_1702",0.625,"lang1","Visual","TYP"
"2","ABCD_1703",0.719,"lang1","Visual","TYP"
"3","ABCD_1705",0.969,"lang2","Visual","TYP"
"4","ABCD_1709",0.594,"lang1","Visual","TYP"
"5","ABCD_1710",0.969,"lang1","Visual","TYP"
"6","ABCD_1711",0.625,"lang1","Visual","DD"
"7","ABCD_1714",0.562,"lang1","Visual","DD"
"8","ABCD_1716",0.938,"lang1","Visual","TYP"
"9","ABCD_1720",0.188,"lang2","Visual","TYP"
"10","ABCD_1721",0.594,"lang1","Visual","TYP"
"11","ABCD_1724",0.594,"lang1","Visual","TYP"
"12","ABCD_1725",0.812,"lang2","Visual","TYP"
"13","ABCD_1727",0.844,"lang1","Visual","DD"
"14","ABCD_1728",0.781,"lang2","Visual","TYP"
"15","ABCD_1729",0.656,"lang1","Visual","TYP"
"16","ABCD_1730",0.75,"lang2","Visual","TYP"
"17","ABCD_1732",0.281,"lang2","Visual","TYP"
"18","ABCD_1734",0.375,"lang2","Visual","TYP"
"19","ABCD_1735",0.469,"lang2","Visual","DD"
"20","ABCD_1736",0.75,"lang2","Visual","TYP"
"21","ABCD_1739",0.938,"lang2","Visual","TYP"
"22","ABCD_1742",0.25,"lang2","Visual","TYP"
"23","ABCD_1747",0.656,"lang1","Visual","TYP"
"24","ABCD_1749",0.938,"lang2","Visual","TYP"
"25","ABCD_1751",0.531,"lang2","Visual","DD"
"26","ABCD_1754",0.875,"lang1","Visual","TYP"
"27","ABCD_1756",0.562,"lang1","Visual","DD"
"28","ABCD_1764",0.938,"lang2","Visual","DD"
"29","ABCD_1767",0.844,"lang2","Visual","DD"
"30","ABCD_1768",0.938,"lang2","Visual","DD"
"31","ABCD_1776",0.5,"lang1","Visual","DD"
"32","ABCD_1777",0.906,"lang2","Visual","DD"
"33","ABCD_1778",0.875,"lang1","Visual","DD"
"34","ABCD_1781",0.406,"lang2","Visual","DD"
"35","ABCD_1783",0.688,"lang2","Visual","TYP"
"36","ABCD_1784",0.875,"lang1","Visual","DD"
"37","ABCD_1787",0.969,"lang1","Visual","DD"
"38","ABCD_1788",0.5,"lang2","Visual","TYP"
"39","ABCD_1792",0.938,"lang2","Visual","DD"
"40","ABCD_1794",0.469,"lang2","Visual","DD"
"41","ABCD_1702",0.625,"lang2","Auditory","TYP"
"42","ABCD_1703",0.562,"lang2","Auditory","TYP"
"43","ABCD_1705",0.594,"lang2","Auditory","TYP"
"44","ABCD_1708",0.719,"lang2","Auditory","TYP"
"45","ABCD_1709",0.531,"lang2","Auditory","TYP"
"46","ABCD_1710",0.625,"lang1","Auditory","TYP"
"47","ABCD_1711",0.438,"lang2","Auditory","DD"
"48","ABCD_1714",0.5,"lang1","Auditory","DD"
"49","ABCD_1716",0.812,"lang2","Auditory","TYP"
"50","ABCD_1720",0.688,"lang1","Auditory","TYP"
"51","ABCD_1721",0.656,"lang2","Auditory","TYP"
"52","ABCD_1724",0.719,"lang2","Auditory","TYP"
"53","ABCD_1725",0.656,"lang1","Auditory","TYP"
"54","ABCD_1728",0.875,"lang2","Auditory","TYP"
"55","ABCD_1729",0.5,"lang1","Auditory","TYP"
"56","ABCD_1730",0.625,"lang2","Auditory","TYP"
"57","ABCD_1732",0.594,"lang1","Auditory","TYP"
"58","ABCD_1734",0.562,"lang1","Auditory","TYP"
"59","ABCD_1735",0.781,"lang2","Auditory","DD"
"60","ABCD_1736",0.781,"lang1","Auditory","TYP"
"61","ABCD_1739",0.75,"lang2","Auditory","TYP"
"62","ABCD_1742",0.969,"lang2","Auditory","TYP"
"63","ABCD_1747",0.812,"lang2","Auditory","TYP"
"64","ABCD_1749",0.438,"lang1","Auditory","TYP"
"65","ABCD_1751",0.438,"lang1","Auditory","DD"
"66","ABCD_1754",0.688,"lang2","Auditory","TYP"
"67","ABCD_1756",0.531,"lang2","Auditory","DD"
"68","ABCD_1764",0.562,"lang1","Auditory","DD"
"69","ABCD_1767",0.5,"lang2","Auditory","DD"
"70","ABCD_1768",0.562,"lang2","Auditory","DD"
"71","ABCD_1776",0.562,"lang2","Auditory","DD"
"72","ABCD_1777",0.5,"lang1","Auditory","DD"
"73","ABCD_1778",0.5,"lang2","Auditory","DD"
"74","ABCD_1781",0.5,"lang2","Auditory","DD"
"75","ABCD_1783",0.594,"lang1","Auditory","TYP"
"76","ABCD_1784",0.656,"lang2","Auditory","DD"
"77","ABCD_1787",0.594,"lang2","Auditory","DD"
"78","ABCD_1788",0.5,"lang2","Auditory","TYP"
"79","ABCD_1792",0.5,"lang2","Auditory","DD"
"80","ABCD_1794",0.656,"lang2","Auditory","DD"
