"","trial","rt_col","PartID","Subgroup","reindex"
"1",32,171.5192744,"ABCD_1702","TYP",1
"2",47,252.7891156,"ABCD_1702","TYP",2
"3",65,212.154195,"ABCD_1702","TYP",3
"4",74,410.34013605,"ABCD_1702","TYP",4
"5",83,212.154195,"ABCD_1702","TYP",5
"6",92,246.984127,"ABCD_1702","TYP",6
"7",107,217.9591837,"ABCD_1702","TYP",7
"8",116,212.154195,"ABCD_1702","TYP",8
"9",131,429.07029478,"ABCD_1702","TYP",9
"10",149,897.9591837,"ABCD_1702","TYP",10
"12",173,392.92517007,"ABCD_1702","TYP",12
"13",185,474.19501134,"ABCD_1702","TYP",13
"14",197,183.1292517,"ABCD_1702","TYP",14
"15",209,387.120181406,"ABCD_1702","TYP",15
"16",224,427.75510204,"ABCD_1702","TYP",16
"17",236,474.19501134,"ABCD_1702","TYP",17
"18",248,217.9591837,"ABCD_1702","TYP",18
"19",260,252.7891156,"ABCD_1702","TYP",19
"20",272,246.984127,"ABCD_1702","TYP",20
"22",296,776.0544218,"ABCD_1702","TYP",22
"23",308,450.97505669,"ABCD_1702","TYP",23
"24",317,456.78004535,"ABCD_1702","TYP",24
"25",329,480,"ABCD_1702","TYP",25
"26",341,398.73015873,"ABCD_1702","TYP",26
"27",359,764.4444444,"ABCD_1702","TYP",27
"28",368,590.29478458,"ABCD_1702","TYP",28
"30",389,683.1746032,"ABCD_1702","TYP",30
"31",395,694.7845805,"ABCD_1702","TYP",31
"32",410,607.70975057,"ABCD_1702","TYP",32
"33",419,770.2494331,"ABCD_1702","TYP",33
"34",431,648.3446712,"ABCD_1702","TYP",34
"35",443,648.3446712,"ABCD_1702","TYP",35
"36",461,735.4195011,"ABCD_1702","TYP",36
"38",479,427.75510204,"ABCD_1702","TYP",38
"39",497,341.9954649,"ABCD_1702","TYP",39
"40",509,752.8344671,"ABCD_1702","TYP",40
"41",521,596.09977324,"ABCD_1702","TYP",41
"42",527,462.58503401,"ABCD_1702","TYP",42
"43",536,445.17006803,"ABCD_1702","TYP",43
"44",545,642.53968254,"ABCD_1702","TYP",44
"45",557,421.95011338,"ABCD_1702","TYP",45
"46",572,619.31972789,"ABCD_1702","TYP",46
"47",578,706.3945578,"ABCD_1702","TYP",47
"48",590,607.70975057,"ABCD_1702","TYP",48
"69",50,30.34013605,"ABCD_1703","TYP",2
"73",95,249.8866213,"ABCD_1703","TYP",6
"77",143,321.6780045,"ABCD_1703","TYP",10
"81",203,445.17006803,"ABCD_1703","TYP",14
"83",227,455.19274376,"ABCD_1703","TYP",16
"85",251,-43.26530612,"ABCD_1703","TYP",18
"86",263,258.5941043,"ABCD_1703","TYP",19
"87",275,215.0566893,"ABCD_1703","TYP",20
"88",287,-69.3877551,"ABCD_1703","TYP",21
"89",299,272.3356009,"ABCD_1703","TYP",22
"92",326,706.3945578,"ABCD_1703","TYP",25
"97",374,628.02721088,"ABCD_1703","TYP",30
"99",401,-57.77777778,"ABCD_1703","TYP",32
"100",407,758.6394558,"ABCD_1703","TYP",33
"107",488,416.14512472,"ABCD_1703","TYP",40
"112",560,863.1292517,"ABCD_1703","TYP",45
"114",584,448.07256236,"ABCD_1703","TYP",47
"115",599,50.65759637,"ABCD_1703","TYP",48
"133",32,389.333333333,"ABCD_1705","TYP",1
"134",47,410.66666667,"ABCD_1705","TYP",2
"135",65,192,"ABCD_1705","TYP",3
"136",74,461.33333333,"ABCD_1705","TYP",4
"138",92,640,"ABCD_1705","TYP",6
"140",116,408,"ABCD_1705","TYP",8
"143",164,701.3333333,"ABCD_1705","TYP",11
"200",41,810.8843537,"ABCD_1708","TYP",1
"201",50,-92.607709751,"ABCD_1708","TYP",2
"203",71,880.5442177,"ABCD_1708","TYP",4
"204",86,430.65759637,"ABCD_1708","TYP",5
"210",152,-72.29024943,"ABCD_1708","TYP",11
"211",161,307.1655329,"ABCD_1708","TYP",12
"212",182,148.2993197,"ABCD_1708","TYP",13
"213",203,813.7868481,"ABCD_1708","TYP",14
"215",227,601.9047619,"ABCD_1708","TYP",16
"216",239,659.95464853,"ABCD_1708","TYP",17
"218",263,234.6031746,"ABCD_1708","TYP",19
"220",287,76.78004535,"ABCD_1708","TYP",21
"221",299,445.17006803,"ABCD_1708","TYP",22
"222",305,445.17006803,"ABCD_1708","TYP",23
"224",326,171.5192744,"ABCD_1708","TYP",25
"225",332,15.8276644,"ABCD_1708","TYP",26
"226",344,443.58276644,"ABCD_1708","TYP",27
"227",350,770.2494331,"ABCD_1708","TYP",28
"228",365,439.36507937,"ABCD_1708","TYP",29
"229",374,-72.29024943,"ABCD_1708","TYP",30
"230",386,23.4920635,"ABCD_1708","TYP",31
"231",401,196.8707483,"ABCD_1708","TYP",32
"232",407,327.4829932,"ABCD_1708","TYP",33
"233",422,-14.24036281,"ABCD_1708","TYP",34
"241",515,255.69161,"ABCD_1708","TYP",42
"242",533,440.68027211,"ABCD_1708","TYP",43
"246",584,407.43764172,"ABCD_1708","TYP",47
"247",599,405.85034014,"ABCD_1708","TYP",48
"265",32,241.1791383,"ABCD_1709","TYP",1
"266",47,445.17006803,"ABCD_1709","TYP",2
"267",65,463.90022676,"ABCD_1709","TYP",3
"268",74,235.3741497,"ABCD_1709","TYP",4
"269",83,235.3741497,"ABCD_1709","TYP",5
"270",92,394.24036281,"ABCD_1709","TYP",6
"271",107,53.5600907,"ABCD_1709","TYP",7
"272",116,223.7641723,"ABCD_1709","TYP",8
"273",131,398.73015873,"ABCD_1709","TYP",9
"274",149,410.34013605,"ABCD_1709","TYP",10
"278",197,427.75510204,"ABCD_1709","TYP",14
"279",209,456.78004535,"ABCD_1709","TYP",15
"280",224,191.0657596,"ABCD_1709","TYP",16
"281",236,183.1292517,"ABCD_1709","TYP",17
"282",248,469.70521542,"ABCD_1709","TYP",18
"283",260,398.73015873,"ABCD_1709","TYP",19
"284",272,167.845805,"ABCD_1709","TYP",20
"285",278,229.569161,"ABCD_1709","TYP",21
"286",296,433.5600907,"ABCD_1709","TYP",22
"287",308,480,"ABCD_1709","TYP",23
"288",317,188.9342404,"ABCD_1709","TYP",24
"289",329,868.9342404,"ABCD_1709","TYP",25
"291",359,252.7891156,"ABCD_1709","TYP",27
"292",368,480,"ABCD_1709","TYP",28
