"","PartID","rp_prop_on","mt_sum_time","mt_sum_err"
"1","ABCD_1702",0.165982852323838,174,113
"2","ABCD_1703",0.537156937156422,142,144
"3","ABCD_1704",0.4405,242,185
"4","ABCD_1705",0.167214876936532,87,51
"5","ABCD_1706",0.20671875,252.94,NA
"6","ABCD_1708",0.550625,230,108
"7","ABCD_1709",0.38526478948026,254,81
"8","ABCD_1710",0.30925,311,155
"9","ABCD_1714",0.43714057033983,198,134
"10","ABCD_1716",0.417266011282077,200,304
"11","ABCD_1717",NA,258,104
"12","ABCD_1720",0.359818137806097,267,270
"13","ABCD_1721",0.034311063827766,138,129
"14","ABCD_1722",0.234857946026987,85,115
"15","ABCD_1724",0.313803645052474,211,272
"16","ABCD_1725",0.416536825337331,154,64
"17","ABCD_1726",0.328394006121939,87.12,159
"18","ABCD_1727",0.262433845577211,184,111
"19","ABCD_1729",0.280515035001485,133,138
"20","ABCD_1730",0.256004755832623,198,154
"21","ABCD_1732",0.252973277833292,127,44
"22","ABCD_1734",0.387941872813593,324,102
"23","ABCD_1735",0.25171875,110,117
"24","ABCD_1736",0.4325625,296,337
"25","ABCD_1739",0.2637351011994,257,70
"26","ABCD_1740",0.415269162293853,321,230
"27","ABCD_1742",0.40196875,113,42
"28","ABCD_1747",0.297912418790605,127,118
"29","ABCD_1749",0.406547835457271,211,184
"30","ABCD_1751",0.347861178785607,213,81
"31","ABCD_1752",0.27941836894053,184,44
"32","ABCD_1753",0.18815625,161.55,100
"33","ABCD_1754",0.206740832708646,418,218
"34","ABCD_1756",0.1749375,147,139
"35","ABCD_1758",0.379377295727136,229,28
"36","ABCD_1760",0.34978125,189,27
"37","ABCD_1763",0.28709375,166,168
"38","ABCD_1764",0.272554785107446,116.53,92
"39","ABCD_1767",0.41515625,157,350
"40","ABCD_1768",0.376832536856572,81.66,106
"41","ABCD_1774",0.33609375,NA,0
"42","ABCD_1776",0.6225625,225.87,281
"43","ABCD_1778",NA,NA,195
"44","ABCD_1781",0.298273722513743,NA,138
"45","ABCD_1782",0.3519375,153.75,111
"46","ABCD_1783",0.240962831084458,178.17,270
"47","ABCD_1784",0.3713125,146.27,133
"48","ABCD_1787",0.31636299037981,126.94,77
"49","ABCD_1788",0.292245118658506,270,89
"50","ABCD_1790",0.22444783858071,304.08,25
"51","ABCD_1792",0.6660625,286.5,73
"52","ABCD_1794",0.3235625,163.78,163
"53","ABCD_1795",0.20909375,NA,NA
