"","WR","PA","rp_prop_on","mt_sum_time","mt_sum_err","aud_acc","vis_acc","aud_slope_scale","vis_slope_scale","IQ","Age"
"1",111,11,0.165982852323838,174,113,0.625,0.625,0.04,-0.041,125,21
"2",112,14,0.537156937156422,142,144,0.562,0.719,0.024,0.025,120,20
"3",108,11.5,0.167214876936532,87,51,0.594,0.969,NA,-0.009,125,22
"4",97.5,11,0.550625,230,108,0.719,NA,-0.014,NA,111,23
"5",108,12,0.38526478948026,254,81,0.531,0.594,0.009,0.023,125,20
"6",105,11.5,0.30925,311,155,0.625,0.969,0.031,-0.094,92,19
"7",82.5,8,0.43714057033983,198,134,0.5,0.562,-0.035,-0.004,115,23
"8",105.5,12.5,0.417266011282077,200,304,0.812,0.938,-0.008,-0.038,120,22
"9",107,10.5,0.359818137806097,267,270,0.688,0.188,-0.019,-0.009,109,28
"10",100,7,0.034311063827766,138,129,0.656,0.594,0.003,-0.054,125,19
"11",108,11,0.313803645052474,211,272,0.719,0.594,-0.034,0.064,103,24
"12",99.5,11,0.416536825337331,154,64,0.656,0.812,0.007,0.055,125,25
"13",72.5,9,0.262433845577211,184,111,NA,0.844,NA,0.024,107,25
"14",98,11,0.280515035001485,133,138,0.5,0.656,-0.027,0.019,125,23
"15",105,8.5,0.256004755832623,198,154,0.625,0.75,-0.027,-0.021,120,32
"16",105,10.5,0.252973277833292,127,44,0.594,0.281,0.012,0.02,130,21
"17",98.5,8.5,0.387941872813593,324,102,0.562,0.375,0.01,-0.008,88,41
"18",88.5,8.5,0.25171875,110,117,0.781,0.469,0.019,0.001,96,31
"19",114.5,13.5,0.4325625,296,337,0.781,0.75,0.012,-0.027,109,31
"20",102,9,0.2637351011994,257,70,0.75,0.938,0.014,0.001,120,30
"21",111,13.5,0.40196875,113,42,0.969,0.25,-0.037,0.049,125,20
"22",105,9,0.297912418790605,127,118,0.812,0.656,0.031,0.026,107,22
"23",107,14.5,0.406547835457271,211,184,0.438,0.938,0.006,-0.013,115,27
"24",81.5,7.5,0.347861178785607,213,81,0.438,0.531,-0.01,0.014,86,38
"25",119.5,11.5,0.206740832708646,418,218,0.688,0.875,-0.006,-0.018,130,19
"26",80.5,7.5,0.1749375,147,139,0.531,0.562,0.04,-0.019,107,24
"27",77.5,10,0.272554785107446,116.53,92,0.562,0.938,-0.014,-0.049,111,24
"28",87,10.5,0.41515625,157,350,0.5,0.844,-0.033,-0.048,120,37
"29",80,6,0.376832536856572,81.66,106,0.562,0.938,-0.014,0.065,88,22
"30",90.5,8,0.6225625,225.87,281,0.562,0.5,0.008,-0.019,125,28
"31",83,11.5,NA,NA,195,0.5,0.875,-0.012,-0.089,93,18
"32",79,7,0.298273722513743,NA,138,0.5,0.406,0.019,-0.011,94,31
"33",103.5,11,0.240962831084458,178.17,270,0.594,0.688,0.037,0.037,109,35
"34",82.5,11,0.3713125,146.27,133,0.656,0.875,-0.017,-0.097,103,20
"35",79.5,10.5,0.31636299037981,126.94,77,0.594,0.969,0.018,-0.062,104,18
"36",106.5,10.5,0.292245118658506,270,89,0.5,0.5,0.006,0.018,100,34
"37",74,11.5,0.6660625,286.5,73,0.5,0.938,0.003,-0.036,120,22
"38",84,10,0.3235625,163.78,163,0.656,0.469,-0.021,-0.047,94,19
