"","WR","PA","rp_prop_on","mt_sum_time","mt_sum_err","aud_acc","vis_acc","aud_slope_scale","vis_slope_scale","IQ","Age"
"1",82.5,8,0.43714057033983,198,134,0.5,0.562,-0.035,-0.004,115,23
"2",72.5,9,0.262433845577211,184,111,NA,0.844,NA,0.024,107,25
"3",88.5,8.5,0.25171875,110,117,0.781,0.469,0.019,0.001,96,31
"4",81.5,7.5,0.347861178785607,213,81,0.438,0.531,-0.01,0.014,86,38
"5",80.5,7.5,0.1749375,147,139,0.531,0.562,0.04,-0.019,107,24
"6",77.5,10,0.272554785107446,116.53,92,0.562,0.938,-0.014,-0.049,111,24
"7",87,10.5,0.41515625,157,350,0.5,0.844,-0.033,-0.048,120,37
"8",80,6,0.376832536856572,81.66,106,0.562,0.938,-0.014,0.065,88,22
"9",90.5,8,0.6225625,225.87,281,0.562,0.5,0.008,-0.019,125,28
"10",83,11.5,NA,NA,195,0.5,0.875,-0.012,-0.089,93,18
"11",79,7,0.298273722513743,NA,138,0.5,0.406,0.019,-0.011,94,31
"12",82.5,11,0.3713125,146.27,133,0.656,0.875,-0.017,-0.097,103,20
"13",79.5,10.5,0.31636299037981,126.94,77,0.594,0.969,0.018,-0.062,104,18
"14",74,11.5,0.6660625,286.5,73,0.5,0.938,0.003,-0.036,120,22
"15",84,10,0.3235625,163.78,163,0.656,0.469,-0.021,-0.047,94,19
