"","WR","PA","rp_prop_on","mt_sum_time","mt_sum_err","aud_acc","vis_acc","aud_slope_scale","vis_slope_scale","IQ","Age"
"1",111,11,0.165982852323838,174,113,0.625,0.625,0.04,-0.041,125,21
"2",112,14,0.537156937156422,142,144,0.562,0.719,0.024,0.025,120,20
"3",108,11.5,0.167214876936532,87,51,0.594,0.969,NA,-0.009,125,22
"4",97.5,11,0.550625,230,108,0.719,NA,-0.014,NA,111,23
"5",108,12,0.38526478948026,254,81,0.531,0.594,0.009,0.023,125,20
"6",105,11.5,0.30925,311,155,0.625,0.969,0.031,-0.094,92,19
"7",105.5,12.5,0.417266011282077,200,304,0.812,0.938,-0.008,-0.038,120,22
"8",107,10.5,0.359818137806097,267,270,0.688,0.188,-0.019,-0.009,109,28
"9",100,7,0.034311063827766,138,129,0.656,0.594,0.003,-0.054,125,19
"10",108,11,0.313803645052474,211,272,0.719,0.594,-0.034,0.064,103,24
"11",99.5,11,0.416536825337331,154,64,0.656,0.812,0.007,0.055,125,25
"12",98,11,0.280515035001485,133,138,0.5,0.656,-0.027,0.019,125,23
"13",105,8.5,0.256004755832623,198,154,0.625,0.75,-0.027,-0.021,120,32
"14",105,10.5,0.252973277833292,127,44,0.594,0.281,0.012,0.02,130,21
"15",98.5,8.5,0.387941872813593,324,102,0.562,0.375,0.01,-0.008,88,41
"16",114.5,13.5,0.4325625,296,337,0.781,0.75,0.012,-0.027,109,31
"17",102,9,0.2637351011994,257,70,0.75,0.938,0.014,0.001,120,30
"18",111,13.5,0.40196875,113,42,0.969,0.25,-0.037,0.049,125,20
"19",105,9,0.297912418790605,127,118,0.812,0.656,0.031,0.026,107,22
"20",107,14.5,0.406547835457271,211,184,0.438,0.938,0.006,-0.013,115,27
"21",119.5,11.5,0.206740832708646,418,218,0.688,0.875,-0.006,-0.018,130,19
"22",103.5,11,0.240962831084458,178.17,270,0.594,0.688,0.037,0.037,109,35
"23",106.5,10.5,0.292245118658506,270,89,0.5,0.5,0.006,0.018,100,34
