"","ans","PartID","cond","Subgroup","key","corr","trial","task"
"1","1","ABCD_1702","lang1","TYP","1",1,1,"Visual"
"2","2","ABCD_1702","lang1","TYP","2",1,2,"Visual"
"3","1","ABCD_1702","lang1","TYP","2",0,3,"Visual"
"4","2","ABCD_1702","lang1","TYP","2",1,4,"Visual"
"5","2","ABCD_1702","lang1","TYP","1",0,5,"Visual"
"6","2","ABCD_1702","lang1","TYP","1",0,6,"Visual"
"7","2","ABCD_1702","lang1","TYP","2",1,7,"Visual"
"8","1","ABCD_1702","lang1","TYP","1",1,8,"Visual"
"9","1","ABCD_1702","lang1","TYP","1",1,9,"Visual"
"10","2","ABCD_1702","lang1","TYP","2",1,10,"Visual"
"11","1","ABCD_1702","lang1","TYP","1",1,11,"Visual"
"12","1","ABCD_1702","lang1","TYP","2",0,12,"Visual"
"13","2","ABCD_1702","lang1","TYP","1",0,13,"Visual"
"14","1","ABCD_1702","lang1","TYP","1",1,14,"Visual"
"15","1","ABCD_1702","lang1","TYP","2",0,15,"Visual"
"16","1","ABCD_1702","lang1","TYP","2",0,16,"Visual"
"17","2","ABCD_1702","lang1","TYP","1",0,17,"Visual"
"18","1","ABCD_1702","lang1","TYP","1",1,18,"Visual"
"19","1","ABCD_1702","lang1","TYP","2",0,19,"Visual"
"20","2","ABCD_1702","lang1","TYP","1",0,20,"Visual"
"21","2","ABCD_1702","lang1","TYP","2",1,21,"Visual"
"22","2","ABCD_1702","lang1","TYP","2",1,22,"Visual"
"23","1","ABCD_1702","lang1","TYP","1",1,23,"Visual"
"24","2","ABCD_1702","lang1","TYP","2",1,24,"Visual"
"25","2","ABCD_1702","lang1","TYP","2",1,25,"Visual"
"26","1","ABCD_1702","lang1","TYP","2",0,26,"Visual"
"27","1","ABCD_1702","lang1","TYP","1",1,27,"Visual"
"28","2","ABCD_1702","lang1","TYP","2",1,28,"Visual"
"29","1","ABCD_1702","lang1","TYP","1",1,29,"Visual"
"30","2","ABCD_1702","lang1","TYP","2",1,30,"Visual"
"31","1","ABCD_1702","lang1","TYP","1",1,31,"Visual"
"32","2","ABCD_1702","lang1","TYP","1",0,32,"Visual"
"33","1","ABCD_1703","lang1","TYP","1",1,1,"Visual"
"34","2","ABCD_1703","lang1","TYP","2",1,2,"Visual"
"35","2","ABCD_1703","lang1","TYP","2",1,3,"Visual"
"36","2","ABCD_1703","lang1","TYP","2",1,4,"Visual"
"37","1","ABCD_1703","lang1","TYP","1",1,5,"Visual"
"38","1","ABCD_1703","lang1","TYP","1",1,6,"Visual"
"39","2","ABCD_1703","lang1","TYP","2",1,7,"Visual"
"40","1","ABCD_1703","lang1","TYP","1",1,8,"Visual"
"41","2","ABCD_1703","lang1","TYP","1",0,9,"Visual"
"42","1","ABCD_1703","lang1","TYP","2",0,10,"Visual"
"43","1","ABCD_1703","lang1","TYP","1",1,11,"Visual"
"44","1","ABCD_1703","lang1","TYP","2",0,12,"Visual"
"45","2","ABCD_1703","lang1","TYP","1",0,13,"Visual"
"46","1","ABCD_1703","lang1","TYP","1",1,14,"Visual"
"47","2","ABCD_1703","lang1","TYP","2",1,15,"Visual"
"48","2","ABCD_1703","lang1","TYP","2",1,16,"Visual"
"49","2","ABCD_1703","lang1","TYP","1",0,17,"Visual"
"50","1","ABCD_1703","lang1","TYP","1",1,18,"Visual"
"51","1","ABCD_1703","lang1","TYP","2",0,19,"Visual"
"52","1","ABCD_1703","lang1","TYP","1",1,20,"Visual"
"53","2","ABCD_1703","lang1","TYP","2",1,21,"Visual"
"54","2","ABCD_1703","lang1","TYP","2",1,22,"Visual"
"55","1","ABCD_1703","lang1","TYP","1",1,23,"Visual"
"56","2","ABCD_1703","lang1","TYP","2",1,24,"Visual"
"57","2","ABCD_1703","lang1","TYP","2",1,25,"Visual"
"58","1","ABCD_1703","lang1","TYP","2",0,26,"Visual"
"59","1","ABCD_1703","lang1","TYP","1",1,27,"Visual"
"60","2","ABCD_1703","lang1","TYP","2",1,28,"Visual"
"61","2","ABCD_1703","lang1","TYP","1",0,29,"Visual"
"62","2","ABCD_1703","lang1","TYP","2",1,30,"Visual"
"63","2","ABCD_1703","lang1","TYP","1",0,31,"Visual"
"64","1","ABCD_1703","lang1","TYP","1",1,32,"Visual"
"65","1","ABCD_1705","lang2","TYP","1",1,1,"Visual"
"66","1","ABCD_1705","lang2","TYP","1",1,2,"Visual"
"67","2","ABCD_1705","lang2","TYP","2",1,3,"Visual"
"68","1","ABCD_1705","lang2","TYP","1",1,4,"Visual"
"69","1","ABCD_1705","lang2","TYP","1",1,5,"Visual"
"70","1","ABCD_1705","lang2","TYP","1",1,6,"Visual"
"71","2","ABCD_1705","lang2","TYP","2",1,7,"Visual"
"72","2","ABCD_1705","lang2","TYP","2",1,8,"Visual"
"73","2","ABCD_1705","lang2","TYP","2",1,9,"Visual"
"74","2","ABCD_1705","lang2","TYP","2",1,10,"Visual"
"75","1","ABCD_1705","lang2","TYP","1",1,11,"Visual"
"76","1","ABCD_1705","lang2","TYP","1",1,12,"Visual"
"77","1","ABCD_1705","lang2","TYP","1",1,13,"Visual"
"78","2","ABCD_1705","lang2","TYP","2",1,14,"Visual"
"79","2","ABCD_1705","lang2","TYP","2",1,15,"Visual"
"80","1","ABCD_1705","lang2","TYP","1",1,16,"Visual"
"81","2","ABCD_1705","lang2","TYP","2",1,17,"Visual"
"82","2","ABCD_1705","lang2","TYP","2",1,18,"Visual"
"83","1","ABCD_1705","lang2","TYP","1",1,19,"Visual"
"84","1","ABCD_1705","lang2","TYP","1",1,20,"Visual"
"85","2","ABCD_1705","lang2","TYP","2",1,21,"Visual"
"86","1","ABCD_1705","lang2","TYP","1",1,22,"Visual"
"87","1","ABCD_1705","lang2","TYP","2",0,23,"Visual"
"88","1","ABCD_1705","lang2","TYP","1",1,24,"Visual"
"89","2","ABCD_1705","lang2","TYP","2",1,25,"Visual"
"90","1","ABCD_1705","lang2","TYP","1",1,26,"Visual"
"91","2","ABCD_1705","lang2","TYP","2",1,27,"Visual"
"92","1","ABCD_1705","lang2","TYP","1",1,28,"Visual"
"93","1","ABCD_1705","lang2","TYP","1",1,29,"Visual"
"94","2","ABCD_1705","lang2","TYP","2",1,30,"Visual"
"95","2","ABCD_1705","lang2","TYP","2",1,31,"Visual"
"96","2","ABCD_1705","lang2","TYP","2",1,32,"Visual"
"97","1","ABCD_1709","lang1","TYP","1",1,1,"Visual"
"98","2","ABCD_1709","lang1","TYP","2",1,2,"Visual"
"99","2","ABCD_1709","lang1","TYP","2",1,3,"Visual"
"100","2","ABCD_1709","lang1","TYP","2",1,4,"Visual"
"101","1","ABCD_1709","lang1","TYP","1",1,5,"Visual"
"102","1","ABCD_1709","lang1","TYP","1",1,6,"Visual"
"103","2","ABCD_1709","lang1","TYP","2",1,7,"Visual"
"104","2","ABCD_1709","lang1","TYP","1",0,8,"Visual"
"105","1","ABCD_1709","lang1","TYP","1",1,9,"Visual"
"106","2","ABCD_1709","lang1","TYP","2",1,10,"Visual"
"107","2","ABCD_1709","lang1","TYP","1",0,11,"Visual"
"108","1","ABCD_1709","lang1","TYP","2",0,12,"Visual"
"109","2","ABCD_1709","lang1","TYP","1",0,13,"Visual"
"110","2","ABCD_1709","lang1","TYP","1",0,14,"Visual"
"111","1","ABCD_1709","lang1","TYP","2",0,15,"Visual"
"112","2","ABCD_1709","lang1","TYP","2",1,16,"Visual"
"113","1","ABCD_1709","lang1","TYP","1",1,17,"Visual"
"114","1","ABCD_1709","lang1","TYP","1",1,18,"Visual"
"115","2","ABCD_1709","lang1","TYP","2",1,19,"Visual"
"116","1","ABCD_1709","lang1","TYP","1",1,20,"Visual"
"117","1","ABCD_1709","lang1","TYP","2",0,21,"Visual"
"118","1","ABCD_1709","lang1","TYP","2",0,22,"Visual"
"119","1","ABCD_1709","lang1","TYP","1",1,23,"Visual"
"120","2","ABCD_1709","lang1","TYP","2",1,24,"Visual"
"121","2","ABCD_1709","lang1","TYP","2",1,25,"Visual"
"122","1","ABCD_1709","lang1","TYP","2",0,26,"Visual"
"123","2","ABCD_1709","lang1","TYP","1",0,27,"Visual"
"124","1","ABCD_1709","lang1","TYP","2",0,28,"Visual"
"125","2","ABCD_1709","lang1","TYP","1",0,29,"Visual"
"126","2","ABCD_1709","lang1","TYP","2",1,30,"Visual"
"127","1","ABCD_1709","lang1","TYP","1",1,31,"Visual"
"128","2","ABCD_1709","lang1","TYP","1",0,32,"Visual"
"129","1","ABCD_1710","lang1","TYP","1",1,1,"Visual"
"130","2","ABCD_1710","lang1","TYP","2",1,2,"Visual"
"131","2","ABCD_1710","lang1","TYP","2",1,3,"Visual"
"132","2","ABCD_1710","lang1","TYP","2",1,4,"Visual"
"133","1","ABCD_1710","lang1","TYP","1",1,5,"Visual"
"134","1","ABCD_1710","lang1","TYP","1",1,6,"Visual"
