"","trial","rt_col","PartID","Subgroup","reindex"
"2",18,584,"ABCD_1702","TYP",1
"3",27,516,"ABCD_1702","TYP",2
"4",42,533,"ABCD_1702","TYP",3
"5",57,628,"ABCD_1702","TYP",4
"6",72,598,"ABCD_1702","TYP",5
"7",84,540,"ABCD_1702","TYP",6
"8",99,614,"ABCD_1702","TYP",7
"9",111,732,"ABCD_1702","TYP",8
"10",126,528,"ABCD_1702","TYP",9
"11",141,582,"ABCD_1702","TYP",10
"12",150,668,"ABCD_1702","TYP",11
"13",162,718,"ABCD_1702","TYP",12
"14",171,617,"ABCD_1702","TYP",13
"15",186,618,"ABCD_1702","TYP",14
"16",198,537,"ABCD_1702","TYP",15
"17",204,614,"ABCD_1702","TYP",16
"18",222,563,"ABCD_1702","TYP",17
"19",234,649,"ABCD_1702","TYP",18
"20",252,585,"ABCD_1702","TYP",19
"21",258,588,"ABCD_1702","TYP",20
"22",270,610,"ABCD_1702","TYP",21
"23",282,641,"ABCD_1702","TYP",22
"24",291,548,"ABCD_1702","TYP",23
"25",300,-221,"ABCD_1702","TYP",24
"42",18,419,"ABCD_1703","TYP",1
"43",27,417,"ABCD_1703","TYP",2
"44",42,603,"ABCD_1703","TYP",3
"45",57,447,"ABCD_1703","TYP",4
"46",72,465,"ABCD_1703","TYP",5
"47",84,485,"ABCD_1703","TYP",6
"48",99,509,"ABCD_1703","TYP",7
"49",111,531,"ABCD_1703","TYP",8
"50",126,510,"ABCD_1703","TYP",9
"51",141,589,"ABCD_1703","TYP",10
"52",150,578,"ABCD_1703","TYP",11
"53",162,577,"ABCD_1703","TYP",12
"54",171,580,"ABCD_1703","TYP",13
"55",186,438,"ABCD_1703","TYP",14
"56",198,467,"ABCD_1703","TYP",15
"57",204,503,"ABCD_1703","TYP",16
"58",222,489,"ABCD_1703","TYP",17
"59",234,477,"ABCD_1703","TYP",18
"60",252,594,"ABCD_1703","TYP",19
"61",258,548,"ABCD_1703","TYP",20
"62",270,451,"ABCD_1703","TYP",21
"63",282,420,"ABCD_1703","TYP",22
"64",291,606,"ABCD_1703","TYP",23
"65",300,514,"ABCD_1703","TYP",24
"82",27,560,"ABCD_1705","TYP",1
"83",39,477,"ABCD_1705","TYP",2
"84",60,438,"ABCD_1705","TYP",3
"85",69,661,"ABCD_1705","TYP",4
"86",75,449,"ABCD_1705","TYP",5
"87",87,489,"ABCD_1705","TYP",6
"88",102,617,"ABCD_1705","TYP",7
"90",126,514,"ABCD_1705","TYP",9
"91",141,430,"ABCD_1705","TYP",10
"92",147,454,"ABCD_1705","TYP",11
"93",162,316,"ABCD_1705","TYP",12
"94",168,597,"ABCD_1705","TYP",13
"95",183,497,"ABCD_1705","TYP",14
"96",195,441,"ABCD_1705","TYP",15
"97",201,539,"ABCD_1705","TYP",16
"98",210,507,"ABCD_1705","TYP",17
"99",228,566,"ABCD_1705","TYP",18
